url	download_complete
www.ics.uci.edu/ugrad	complete
www.ics.uci.edu/~emilyo	incomplete
www.ics.uci.edu/~nicolau	incomplete
www.ics.uci.edu/faculty/area_ubi.php	incomplete
www.ics.uci.edu/computing/services/msoffice.php	incomplete
www.ics.uci.edu/computing/contact/staff.php	incomplete
ngs.ics.uci.edu	incomplete
www.ics.uci.edu/computing/linux/modules.php	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=igassko	incomplete
www.ics.uci.edu/ugrad/index.php	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=dgillen	incomplete
www.ics.uci.edu/~mjcarey	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=smehrotr	incomplete
www.ics.uci.edu/faculty/area_scientific.php	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=tanenbaj	incomplete
www.ics.uci.edu/faculty/area_compgraphics.php	incomplete
www.ics.uci.edu/statistics/grad/index.php	incomplete
www.ics.uci.edu/centers/index.php	incomplete
www.ics.uci.edu/computing/services/microsoft_imagine.php	incomplete
www.ics.uci.edu/grad/index.php	incomplete
www.ics.uci.edu/prospective/en/degrees/software-engineering	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=bruberg	incomplete
www.ics.uci.edu/~gbowker	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=standish	incomplete
www.ics.uci.edu/ugrad/degrees/degree_cs.php	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=yuzhaoxia	incomplete
ugradforms.ics.uci.edu	incomplete
www.ics.uci.edu/about/about_safety.php	incomplete
www.ics.uci.edu/~sbaidya	incomplete
www.ics.uci.edu/~fowlkes	incomplete
www.ics.uci.edu/computing/account/faqs.php	incomplete
www.ics.uci.edu/~stasio	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=hziv	incomplete
www.ics.uci.edu/computing/account/mapdrive_win.php	incomplete
www.ics.uci.edu/prospective/en/careers/breadth	incomplete
www.ics.uci.edu/ugrad/degrees/Minors	complete
www.ics.uci.edu/policies/Withdrawal_Readmission.php	incomplete
www.ics.uci.edu/ugrad/resources/index.php	incomplete
www.ics.uci.edu/ugrad/degrees/degree_cse.php	incomplete
www.ics.uci.edu/about_meet_the_dean.php	incomplete
www.ics.uci.edu/prospective/zh-tw	incomplete
www.ics.uci.edu/../statistics/index.php	incomplete
www.ics.uci.edu/faculty/area_network.php	incomplete
www.ics.uci.edu/computing/services/restore.php	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=hombao	incomplete
www.ics.uci.edu/computing/services/snapshot.php	incomplete
www.ics.uci.edu/computing/linux/hosts.php	incomplete
www.ics.uci.edu/sao/SAO_Events.php	incomplete
www.ics.uci.edu/grad/funding	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=ddenenbe	incomplete
www.ics.uci.edu/~sjordan	incomplete
www.ics.uci.edu/ugrad/sao/index.php	incomplete
www.ics.uci.edu/degrees/Double_Majors.php	incomplete
www.ics.uci.edu/ugrad/policies/Grade_Options	incomplete
www.ics.uci.edu/prospective/en/degrees/informatics	incomplete
www.ics.uci.edu/../community/friends/OLD_index.php	incomplete
www.ics.uci.edu/	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=wscacchi	incomplete
www.ics.uci.edu/grad	incomplete
www.ics.uci.edu/degrees/Second_BA.php	incomplete
www.ics.uci.edu/~jpd	incomplete
hombao.ics.uci.edu	incomplete
www.ics.uci.edu/~dillenco	incomplete
www.ics.uci.edu/%7Edjr/DebraJRichardson/SE4S.html	incomplete
www.ics.uci.edu/community/news/index.php	incomplete
www.ics.uci.edu/grad/admissions/index	complete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=mizukoi	incomplete
www.ics.uci.edu/prospective/en/admissions/freshmen	incomplete
www.ics.uci.edu/~kay	incomplete
www.ics.uci.edu/about_safety.php	incomplete
www.ics.uci.edu/ugrad/policies/Academic_Standing	complete
www.ics.uci.edu/ugrad/courses/index	complete
www.ics.uci.edu/~dgillen	incomplete
www.ics.uci.edu/computing/network	incomplete
www.ics.uci.edu/faculty/highlights	complete
www.ics.uci.edu/ugrad/resources/ICS_StudentLife_nonTechOpps.php	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=guoqingx	incomplete
www.ics.uci.edu/ugrad/resources/ICS_StudentOrgs.php	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=avanderh	incomplete
www.ics.uci.edu/../grad/index.php	incomplete
www.ics.uci.edu/prospective/en/contact/student-affairs	incomplete
www.ics.uci.edu/courses/index.php	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=sameer	incomplete
www.ics.uci.edu/~guoqingx	incomplete
www.ics.uci.edu/ugrad/resources/index	complete
www.ics.uci.edu/grad/policies/index.php	incomplete
www.ics.uci.edu/~andre	incomplete
www.ics.uci.edu/QA_Graduation.php	incomplete
www.ics.uci.edu/community	incomplete
www.ics.uci.edu/~isaac	incomplete
www.ics.uci.edu/project_class.php	incomplete
www.ics.uci.edu/../about/annualreport/index.php	incomplete
www.ics.uci.edu/community/news/student_blogs/index.php	incomplete
www.ics.uci.edu/community/events/openhouse/dedication.html	incomplete
www.ics.uci.edu/%7elab/lab_schedule	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=chenli	incomplete
www.ics.uci.edu/~klefstad	incomplete
www.ics.uci.edu/computing/account/new	complete
www.ics.uci.edu/involved/tech_talk.php	incomplete
www.ics.uci.edu/ugrad/sao/Course_updates.php	incomplete
www.ics.uci.edu/community/events	incomplete
radicle.ics.uci.edu	incomplete
www.ics.uci.edu/grad/admissions	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=sudderth	incomplete
www.ics.uci.edu/highlights/index.php	incomplete
mhcid.ics.uci.edu/program/about-the-program	incomplete
www.ics.uci.edu/ 	incomplete
www.ics.uci.edu/prospective/en/student-life/diversity	incomplete
www.ics.uci.edu/~jsolson	incomplete
www.ics.uci.edu/%7esysarch	incomplete
www.ics.uci.edu/sao/Course_updates.php	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=djr	incomplete
www.ics.uci.edu/ugrad/resources	incomplete
www.ics.uci.edu/../computing/account/new.php	incomplete
www.ics.uci.edu/community/alumni	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=whayes	incomplete
www.ics.uci.edu/ugrad/policies/Add_Drop_ChangeOption.php	incomplete
www.ics.uci.edu/ugrad/QA_Graduation	incomplete
www.ics.uci.edu/ugrad/policies/CS199_IN4MATX199	incomplete
www.ics.uci.edu/~yamingy	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=ebozorgz	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=zhengkai	incomplete
www.ics.uci.edu/about/equity	complete
www.ics.uci.edu/involved/information_session.php	incomplete
www.ics.uci.edu/~alexv	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=shz	incomplete
www.ics.uci.edu/brenhall/index.php	incomplete
www.ics.uci.edu/about/brenhall/index.php	complete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=majumder	incomplete
www.ics.uci.edu/involved	complete
www.ics.uci.edu/ugrad/degrees/Minors.php	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=emj	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=fowlkes	incomplete
www.ics.uci.edu/computing/linux/shell.php	incomplete
www.ics.uci.edu/about/about_mission.php	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=yunanc	incomplete
www.ics.uci.edu/statistics	incomplete
www.ics.uci.edu/~majumder	incomplete
www.ics.uci.edu/policies/Laptop_ComputerUse.php	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=rickl	incomplete
www.ics.uci.edu/computing/services/microsoft_dreamspark.php	incomplete
www.ics.uci.edu/ugrad/sao/Course_updates	complete
www.ics.uci.edu/~xhx	incomplete
emj.ics.uci.edu/papers/machine-learning-papers	incomplete
www.ics.uci.edu/about/annualreport/index.php	incomplete
www.ics.uci.edu/~irani	incomplete
www.ics.uci.edu/~sharad	incomplete
www.ics.uci.edu/about/bren/bren_press.php	incomplete
www.ics.uci.edu/~mlevorat/ 	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=jsolson	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=pattis	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=dfredmil	incomplete
www.ics.uci.edu/ugrad/degrees/index.php	complete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=marios	incomplete
www.ics.uci.edu/visit/index.php	incomplete
www.ics.uci.edu/~smyth	incomplete
www.ics.uci.edu/community/news/view_news?id=1271	complete
www.ics.uci.edu/~feldman	incomplete
www.ics.uci.edu/computing/linux/security.php	incomplete
www.ics.uci.edu/www.ics.uci.edu	incomplete
www.ics.uci.edu/faculty/area_os.php	incomplete
www.ics.uci.edu/area/index.php	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=levorato	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=const	incomplete
www.ics.uci.edu/~eppstein	incomplete
www.ics.uci.edu/grad/funding/index	complete
www.ics.uci.edu/~gopi	incomplete
www.ics.uci.edu/~mmazmani	incomplete
